nohup: ignoring input
[ Info: Progress 29.8% | step 2444/8192 | elapsed 00:05:48 | remaining ≈ 00:13:39
[ Info: Progress 30.3% | step 2480/8192 | elapsed 00:05:53 | remaining ≈ 00:13:34
[ Info: Progress 30.7% | step 2517/8192 | elapsed 00:05:58 | remaining ≈ 00:13:28
[ Info: Progress 31.2% | step 2554/8192 | elapsed 00:06:03 | remaining ≈ 00:13:22
[ Info: Progress 31.6% | step 2591/8192 | elapsed 00:06:08 | remaining ≈ 00:13:16
[ Info: Progress 32.1% | step 2630/8192 | elapsed 00:06:14 | remaining ≈ 00:13:10
[ Info: Progress 32.6% | step 2668/8192 | elapsed 00:06:19 | remaining ≈ 00:13:05
[ Info: Progress 33.1% | step 2708/8192 | elapsed 00:06:24 | remaining ≈ 00:12:58
[ Info: Progress 33.5% | step 2747/8192 | elapsed 00:06:30 | remaining ≈ 00:12:53
[ Info: Progress 34.0% | step 2786/8192 | elapsed 00:06:35 | remaining ≈ 00:12:47
[ Info: Progress 34.5% | step 2825/8192 | elapsed 00:06:40 | remaining ≈ 00:12:41
[ Info: Progress 35.0% | step 2864/8192 | elapsed 00:06:46 | remaining ≈ 00:12:35
[ Info: Progress 35.4% | step 2903/8192 | elapsed 00:06:51 | remaining ≈ 00:12:28
[ Info: Progress 35.9% | step 2940/8192 | elapsed 00:06:56 | remaining ≈ 00:12:23
[ Info: Progress 36.3% | step 2976/8192 | elapsed 00:07:01 | remaining ≈ 00:12:18
[ Info: Progress 36.7% | step 3010/8192 | elapsed 00:07:06 | remaining ≈ 00:12:13
[ Info: Progress 37.2% | step 3047/8192 | elapsed 00:07:11 | remaining ≈ 00:12:08
[ Info: Progress 37.7% | step 3086/8192 | elapsed 00:07:17 | remaining ≈ 00:12:02
[ Info: Progress 38.1% | step 3125/8192 | elapsed 00:07:22 | remaining ≈ 00:11:57
[ Info: Progress 38.6% | step 3164/8192 | elapsed 00:07:27 | remaining ≈ 00:11:51
[ Info: Progress 39.1% | step 3202/8192 | elapsed 00:07:32 | remaining ≈ 00:11:45
[ Info: Progress 39.5% | step 3236/8192 | elapsed 00:07:37 | remaining ≈ 00:11:40
[ Info: Progress 40.0% | step 3273/8192 | elapsed 00:07:42 | remaining ≈ 00:11:35
[ Info: Progress 40.4% | step 3310/8192 | elapsed 00:07:47 | remaining ≈ 00:11:29
[ Info: Progress 40.9% | step 3347/8192 | elapsed 00:07:52 | remaining ≈ 00:11:24
[ Info: Progress 41.3% | step 3385/8192 | elapsed 00:07:58 | remaining ≈ 00:11:18
[ Info: Progress 41.8% | step 3424/8192 | elapsed 00:08:03 | remaining ≈ 00:11:12
[ Info: Progress 42.3% | step 3464/8192 | elapsed 00:08:08 | remaining ≈ 00:11:06
[ Info: Progress 42.8% | step 3503/8192 | elapsed 00:08:14 | remaining ≈ 00:11:01
[ Info: Progress 43.2% | step 3543/8192 | elapsed 00:08:19 | remaining ≈ 00:10:55
[ Info: Progress 43.7% | step 3582/8192 | elapsed 00:08:24 | remaining ≈ 00:10:49
[ Info: Progress 44.2% | step 3621/8192 | elapsed 00:08:29 | remaining ≈ 00:10:43
[ Info: Progress 44.7% | step 3660/8192 | elapsed 00:08:35 | remaining ≈ 00:10:37
[ Info: Progress 45.2% | step 3699/8192 | elapsed 00:08:40 | remaining ≈ 00:10:31
[ Info: Progress 45.6% | step 3738/8192 | elapsed 00:08:45 | remaining ≈ 00:10:26
[ Info: Progress 46.1% | step 3778/8192 | elapsed 00:08:50 | remaining ≈ 00:10:20
[ Info: Progress 46.6% | step 3817/8192 | elapsed 00:08:56 | remaining ≈ 00:10:14
[ Info: Progress 47.1% | step 3856/8192 | elapsed 00:09:01 | remaining ≈ 00:10:08
